SO_N_HM [1/min],SO_M_VM [Nm],speed_step,N_HM [1/min],M_HMmess [Nm],PA1_P_1 [W],PA1_P_2 [W],PA1_P_4 [W],PA1_PM [W],Eff_Sys_WT [%],Eff_Motor_PA [%],Eff_DCtoAC_WT [%],T_MOTOR [°C],T_Rotor [°C],motor_loss [kW],motor_eff_motor_ge_80%,motor_eff_generator_eff_ge_80%,motor_eff_motor_eff_interval,motor_eff_motor_eff_interval_value,motor_eff_generator_eff_interval,motor_eff_generator_eff_interval_value,peu_eff_motor_ge_80%,peu_eff_generator_eff_ge_80%,peu_eff_motor_eff_interval,peu_eff_motor_eff_interval_value,peu_eff_generator_eff_interval,peu_eff_generator_eff_interval_value,sys_eff_motor_ge_80%,sys_eff_generator_eff_ge_80%,sys_eff_motor_eff_interval,sys_eff_motor_eff_interval_value,sys_eff_generator_eff_interval,sys_eff_generator_eff_interval_value,motor_motor_eff [%],peu_motor_eff [%],sys_motor_eff [%],motor_motor_speed [rpm],motor_motor_torque [Nm],motor_motor_loss [kW],motor_generator_eff [%],peu_generator_eff [%],sys_generator_eff [%],motor_generator_speed [rpm],motor_generator_torque [Nm],motor_generator_loss [kW],motor_motor_loss_max [kW],motor_generator_loss_max [kW],motor_max_eff [%],motor_max_eff_operator,generator_max_eff [%],generator_max_eff_operator
500.0,-205.0,222.0,500.0008194,-205.4170358,-2267.789852,-6340.658433,-6472.330166,-10754.836253269019,60.180648162194785,80.04257882014142,75.1857936729186,61.0,,2.1463879682690203,,,,,,,,,,,,,,,,,,,91.07539602268533,85.9120112055311,78.24470443649125,500.0,71.81025814,0.36841025138521216,77.36478239882396,72.80062895892816,56.32204817905,500.0,-240.9446254,2.8555224853134407,,,,,,
500.0,-200.0,212.0,500.0246242,-200.5777649,-2218.087038,-6200.128047,-6377.963364,-10501.970839476277,60.73110906026914,80.1584313427765,75.7638442306443,60.685,,2.0837557544762766,,,,,,,,,,,,,,,,,,,90.57046919544435,86.65391632252889,78.48285858954215,500.0,66.72126499,0.3637027830569136,77.01564640892514,72.44083032748794,55.79077374070751,500.0,-245.9910841,2.960103294680186,,,,,,
500.0,-195.0,202.0,500.0207573,-195.4517437,-2232.610718,-6088.540690999998,-6272.258743,-10233.500408427173,61.29143003536566,81.31285559091415,75.3772937747058,60.0,,1.912348999427175,,,,,,,,,,,,,,,,,,,91.32522397286549,85.98573502934585,78.52666510026476,500.0,61.05091112,0.30362623615339634,76.92202450166148,71.82528321189228,55.249461950639535,500.0,-250.9663871,3.032241977832153,,,,,,
500.0,-190.0,192.0,500.0132248,-190.5557771,-2269.01033,-5904.090793,-6180.357440999999,-9977.00613738649,61.946012219442856,81.91937551660133,75.61826714229434,59.0,,1.8039050143864896,,,,,,,,,,,,,,,,,,,91.39814187573965,86.2208455661643,78.80425075702524,500.0,56.05744787,0.2762040445540961,76.38819077657753,71.60156865422768,54.695142862613565,500.0,-256.2717474,3.1679624015455867,,,,,,
500.0,-185.0,182.0,500.01108610000006,-185.4631424,-2201.133719,-5745.541565,-6053.695403,-9710.327462088268,62.34285534278072,81.83735630982538,76.17897028193205,59.0,,1.7636521780882668,,,,,,,,,,,,,,,,,,,91.88778346500253,86.00477465431788,79.027881103923,500.0,50.99905233,0.23572014074734807,75.78253417776345,71.29409809566744,54.028474256077374,500.0,-261.1756891,3.311566248394287,,,,,,
500.0,-180.0,174.0,500.0004126,-180.2698949,-2154.460496,-5575.936841,-5920.849944,-9438.222181084671,62.73268238870339,81.90522736890686,76.59179322725154,60.66,,1.707824844084671,,,,,,,,,,,,,,,,,,,91.72779359545954,86.4386236867086,79.28824232210006,500.0,45.99550821,0.21716342729158394,74.99464710317977,71.28610102200118,53.46075989506601,500.0,-266.2286209,3.4854013183189725,,,,,,
500.0,-175.0,166.0,500.02235639999986,-175.1706985,-2170.516224,-5437.884983,-5798.013298,-9171.650831016115,63.2166815421346,82.95563521967479,76.20540952369365,61.0,,1.5632496240161153,,,,,,,,,,,,,,,,,,,91.77235214333133,86.62623495836041,79.4989333944961,500.0,40.96689608,0.1922984467177289,74.75313848334227,70.7240110403332,52.868417913954545,500.0,-271.4702353,3.588383846699369,,,,,,
500.0,-170.0,158.0,500.0146075,-170.24525119999996,-2103.366225,-5261.823394,-5697.888127,-8913.624341100196,63.9233594434463,82.6284498555716,77.36240914016854,59.0,,1.5484347221001953,,,,,,,,,,,,,,,,,,,92.99313043599663,85.71759574666473,79.71147561929621,500.0,35.92895752,0.14173387216255104,73.99293825852314,70.75215104380793,52.35159543842184,500.0,-276.3538742,3.7629605368395187,,,,,,
500.0,-165.0,150.0,500.0092847,-165.0548483,-2086.523027,-5137.87252,-5543.814438,-8641.775563848169,64.15133553331196,83.59850928346707,76.73741563475332,61.04,,1.4173800168481685,,,,,,,,,,,,,,,,,,,93.2006483806242,85.65753374082303,79.83337683329901,500.0,30.92968382,0.1181318943613137,74.27910040030898,69.78712720299356,51.837250281602934,500.0,-281.6942523,3.7934211280143137,,,,,,
500.0,-160.0,142.0,500.0111412,-160.1480257,-2049.94113,-4964.766086,-5423.995122,-8384.900218972138,64.68765257012087,83.65880371632969,77.32318619982158,61.0,,1.3701930029721379,,,,,,,,,,,,,,,,,,,85.05159641317015,85.8541979698295,73.0203659610635,500.0,172.55823909999995,1.5878400410478044,72.98216296755923,69.9404037151589,51.04401941956612,500.0,-286.4607512,4.052024401668814,,,,,,
