SO_N_HM [1/min],SO_M_VM [Nm],speed_step,M_HMmess [Nm],PA1_IRMS_1 [A],PA1_IRMS_2 [A],PA1_IRMS_3 [A],LEW_SO_T_P1 [°C],LEW_SO_Q_P1 [l/min],T_MOTOR [°C],T_Rotor [°C],average_current
50.0,0.0,1.0,-77.83630329101834,136.65344434264867,143.2373704822431,128.54409937025594,20.0,8.0,21.0,0.0,136.14497139838258
100.0,0.0,2.0,-122.0490305244231,242.60275811417299,248.78679789037523,254.85976952776926,20.0,8.0,22.0,0.0,248.74977517743915
200.0,0.0,3.0,-112.88660706579833,339.4097464425464,342.31121236334474,337.8568320395372,20.0,8.0,22.0,0.0,339.85926361514277
300.0,0.0,4.0,-88.08994786878428,367.41425039246116,368.21482968804924,367.8765632778329,20.0,8.0,22.57843137254902,0.0,367.83521445278114
400.0,0.0,5.0,-70.31868152998041,382.5095178940584,380.49035644523553,373.01472443224475,20.0,8.0,23.0,0.0,378.6715329238462
500.0,0.0,6.0,-58.0565546524876,383.7796149137686,384.26861168730557,384.22225624277746,20.0,8.0,23.0,0.0,384.0901609479506
600.0,0.0,7.0,-49.28387047264707,386.8148088642547,387.2920696782641,387.18559833598033,20.0,8.0,23.0,0.0,387.09749229283307
700.0,0.0,8.0,-42.784147898362725,388.67319383801004,389.15687830302954,389.00207399855884,20.0,8.0,23.0,0.0,388.9440487131995
800.0,0.0,13.0,-37.79469545222313,389.8378089086528,390.3030834356204,390.1206947515947,20.0,8.0,23.0,0.0,390.0871956986227
900.0,0.0,14.0,-33.866046027523815,390.7643636068018,391.10606796024587,390.9923165941742,20.0,8.0,23.253968253968253,0.0,390.954249387074
1000.0,0.0,10.0,-30.689020427075018,391.32584050491647,391.907471211642,391.6355278015493,20.0,8.0,23.225,0.0,391.622946506036
1100.0,0.0,11.0,-28.066663318238092,391.82223534959553,392.35328359467474,392.07425435376956,20.0,8.0,23.261904761904763,0.0,392.0832577660133
1200.0,0.0,16.0,-25.842212402063062,391.90606634456765,392.5233803139999,392.0852831591169,20.0,8.0,23.16216216216216,0.0,392.1715766058948
1300.0,0.0,19.0,-23.991966771147048,392.2717282164513,392.77481497971604,392.47688921759834,20.0,8.0,23.08823529411765,0.0,392.5078108045886
1500.0,0.0,17.0,-21.032580416461546,392.7314724391881,393.2417357355642,392.91186758188934,20.0,8.0,23.205128205128204,0.0,392.9616919188805
2000.0,0.0,9.0,-16.229959792478986,393.54414842110907,394.0291648029828,393.6697567211344,20.0,8.0,23.218487394957982,0.0,393.74768998174204
4000.0,0.0,12.0,-9.365898401085452,394.3041490034999,394.73918706709975,394.3054296319092,20.0,8.0,23.60909090909091,0.0,394.449588567503
6000.0,0.0,18.0,-7.528568239776471,394.4956273096568,394.8879962996571,394.4132283528138,20.0,8.0,24.08823529411765,0.0,394.59895065404254
8000.0,0.0,15.0,-6.966245159147202,394.8439680175918,395.19407958990405,394.6928481445358,20.0,8.0,25.648,0.0,394.9102985840106
10000.0,0.0,20.0,-6.90731247755385,394.91556678198464,395.23741220330805,394.7170872614221,20.0,8.0,27.284615384615385,0.0,394.956688748905
